id,"nama_matakuliah",keahlian_id
695,"Praktek Kerja Lapangan",NULL
696,"Telaah Puisi Indonesia",NULL
697,"Problematika Pembelajaran Bahasa Dan Sas (Na)",NULL
698,"Pengantar Sistem Infor",3
699,"Problematik Sastra & Pengajarannya",NULL
700,"Teori Makroekonomi Ii",NULL
701,"Pengantar Organisasi Komputer",3
702,"Pengantar Kriptografi",2
703,"Perancangan Web",1
704,"Teknik Multimedia",NULL
705,"Teknik Riset Operasi",NULL
706,"Pemrograman Berorientasi Obyek",1
707,"Organisasi Komputer Dan Bahasa Assembly",3
708,"Manajemen Sdm Ii",4
709,"Perangkat Lunak Pengembangan Web",1
710,"Komunikasi Data Dan Jaringan",4
711,"Filsafat Ilmu",NULL
712,"Ilmu Alamiah Dasar",NULL
713,"Praktikum Qiraahibadahdan Kitabah",NULL
714,"Agama",NULL
715,"Hukum Hukum Kesehatan",NULL
716,"Patoanatomi",NULL
717,"Organisasi Dan Arsitektur Komputer",3
718,"Bahasa Inggris",NULL
719,"Sistem Informasi Strategis",4
720,"Customer Relationship Management",5
721,"Proyek Pengembangan Sistem Informasi",4
722,"Administrasi Kontrak",NULL
723,"Analisis & Desain Sistem Informasi",4
724,"Analisis Dan Desain Sistem Informasi",4
725,"Rekayasa Kebutuhan Sistem Informasi",4
726,"Etika Profesi",8
727,"Pengantar Manajemen",4
728,"Algoritma Dan Pemrograman 1",1
729,"Manajemen Proyek Ti",5
730,"Pengantar Sistem Informasi",4
731,"Pengantar Teknologi Informasi & Komunika",4
732,"Pengantar Technopreunership",NULL
733,"Agama Katholik",NULL
734,"Kewarganegaraan",NULL
735,"Ketrampilan Interpersonal",NULL
736,"Kalkulus Dan Aljabar Linier",2
737,"Sistem Fungsional Bisnis 2",3
738,"Agama Hindu",NULL
739,"Bisnis Cerdas",NULL
740,"Agama Islam",NULL
741,"Sistem Fungsional Bisnis 1",3
742,"Agama Kristen",NULL
743,"Tata Kelola Teknologi Informasi",4
744,"Bhs Inggris",NULL
745,"Bahasa Indonesia",NULL
746,"Manajemen Layanan Si/Ti",4
747,"Pengembangan Dan Implementasi Perangkat",NULL
748,"Desain Dan Manajemen Jaringan",5
749,"Tata Kelola Dan Audit Si/Ti",NULL
750,"Manajemen Kualitas Ti",4
751,"Teknik Peramalan",NULL
752,"Data Mining Dan Data Warehousing",4
753,"Strategi Dan Kebijakan",NULL
754,"Perencanaan Strategis Si/Ti",NULL
755,"Manajemen Investasi Ti",4
756,"Manajemen Proyek Lanjut",5
757,"Tata Kelola Ti",NULL
758,"Pemrograman Komputer",1
759,"Pemrograman Framework .Net",1
760,"Pemrograman Framework J2Ee",1
761,"Perancangan Dan Analisis Algoritma Ii",1
762,"Perancangan Dan Analisis Algoritma I",1
763,"Basis Data Terdistribusi",4
764,"Big Data",4
765,"Topik Dalam Audit Sistem",3
766,"Topik Dalam Sistem Informasi",4
767,"Fisika Ii",NULL
768,"Desain&Pemrograman Berorientasi Objek",NULL
769,"Christian",NULL
770,"Kalkulus I",2
771,"Tesis (Termasuk Seminar Tesis)",NULL
772,"Keperawatan Anak I",NULL
773,"Electronic Commerce",NULL
774,"Struktur Data & Algoritma",1
775,"Teknologi Sistem Basis Data",4
776,"Desain Dan Analisis Algoritme",5
777,"Desain & Analisis Algoritma",1
778,"Studi Mandiri",NULL
779,"Dasar-Dasar Pemrograman",1
780,"Enterprise Application Integration",9
781,"Layanan & Aplikasi Web",5
782,"Pemrograman Deklaratif",1
783,"Penjaminan Mutu Perangkat Lunak",5
784,"Kalkulus",2
785,"Pengajaran Berbantuan Komputer",NULL
786,"Perancangan & Pemrograman Web",1
787,"Dasar-Dasar Pemrograman 2",1
788,"Administrasi Bisnis",NULL
789,"Manajemen Sumber Daya Manusia",4
790,"Matematika Dasar 1",2
791,"E-Commerce",NULL
792,"Matematika Diskret 1",2
793,"Perilaku Organisasi",NULL
794,"Manajemen",4
795,"Manajemen Layanan Ti",4
796,"Manajemen Keamanan Informasi",4
797,"Kerja Praktik",NULL
798,"Manajemen Risiko Ti",4
799,"Pengantar Keamanan Informasi",4
800,"Tkbm Arsitektur & Infrastruktur",3
801,"Matematika Diskret 2",2
802,"Struktur Data Dan Al",4
803,"Discrete Mathematics 1",NULL
804,"Mpk Bhs Inggris",NULL
805,"Matematika Dasar",2
806,"Aljabar Linier",NULL
807,"Business Intelligence",NULL
808,"Bahasa Jepang Dasar A",NULL
809,"Sistem Informasi Geografis",4
810,"Kecerdasan Buatan Lanjut",7
811,"Teknologi Komunikasi Data",4
812,"Topik Khusus Logika Komputasional",2
813,"Sistem Fuzzy Untuk Image Retrieval",3
814,"Topik Dalam Jaringan Komputer",3
815,"Perencanaan Infrastruktur Ti",NULL
816,"Computer Networks",NULL
817,"Teknologi Mobile",NULL
818,"Desain & Pemrograman Berorientasi Objek",5
819,"Komputasi Ubiquitous & Net-Sentris",NULL
820,"Pengantar Ekonomi 2",NULL
821,"Analisis Pasar Tenaga Kerja",2
822,"Komputasi Ubiquitous Net-Sentris",NULL
823,"Manajemen Perubahan & Proyek Ti",4
824,"Kewirausahaan Bisnis Perangkat Lunak",5
825,"Peng.Sist.Komputer & Sist.Operasi",NULL
826,"Struktur Dan Fungsi Biomolekul",NULL
827,"Cara-Cara Pemisahan",NULL
828,"Biokimia Lanjut",NULL
829,"Adv. Topic On Computational Intelligence",NULL
830,"Kimia Permukaan",NULL
831,"Seminar Proposal Penelitian",NULL
832,"Topik Khusus Komputasi Grid",NULL
833,"Teknologi Grid",NULL
834,"Pemrosesan Teks",NULL
835,"Penjaminan Kualitas Perangkat L:Unak",NULL
836,"Manajemen Strategis Si",4
837,"Manajemen Informasi Korporat",4
838,"Proyek Aplikasi Finansial",5
839,"Perpajakan 1",NULL
840,"Topik Dalam Pengolahan Citra",6
841,"Komputer & Masyarakat",NULL
842,"Manajemen Pengetahuan",4
843,"Matematika Diskrit Ii",2
844,"Religion (Catholic)",NULL
845,"Topik Khusus Pemrosesan Bahasa Natural",NULL
846,"Discrete Math.Ii",NULL
847,"Teori Informasi",4
848,"Psikologi Politik (P)",NULL
849,"Prinsip-Prinsip Sist. Informasi",4
850,"Prinsip-2 Sistem Informasi",4
851,"Topik Khusus Teknologi Perangkat Lunak",5
852,"Struktur Data Algoritma",1
853,"Tkbm Teknologi Perangkat Lunak",5
854,"Pengelolaan Data Besar",4
855,"Reaksi-Reaksi Kimia Anorganik",NULL
856,"Gelombang",NULL
857,"Pengolahan Citra",6
858,"Hukum Telematika",NULL
859,"Seni Dan Olahraga",NULL
860,"Matematika Diskrit I",2
861,"Bhs Jerman Sbg Bahasa Asing",NULL
862,"Akuntansi Keuangan Lanjutan 1",NULL
863,"Teori Bahasa Dan Automata",2
864,"Sistem Interaksi I",3
865,"Metodologi Penelitia",5
866,"Mpkt Terintegrasi",NULL
867,"Basisdata I",NULL
868,"Bahasa Belanda Dasar A",NULL
869,"Sistem Informaso Geografis",3
870,"Mekatronika",NULL
871,"Psikologi Perkembangan Manusia",NULL
872,"Linear Algebra",NULL
873,"Enterprise Resource Planning",9
874,"Teori Bahasa & Automata",2
875,"Statistika & Probabilitas",2
876,"Petroleum Biomarker",NULL
877,"Ekologi",NULL
878,"Prasyarat & Spesifikasi P. Lunak",NULL
879,"Sintesis Kimia Organik",NULL
880,"Penanganan & Pemeliharaan Mikroorganisme",NULL
881,"Proses Dan Manajemen Rekayasa Perangkat",4
882,"It Project",5
883,"Teknik Perangkat Lunak",5
884,"Database 2",NULL
885,"Struktur Data Danalgoritma",4
886,"Bahasa Isyarat Indonesia",NULL
887,"Proses Manajrekayasa Perangkat Lunak",5
888,"Manajemen Hubungan Pelanggan",4
889,"Dinamika Tim Perangkat Lunak",8
890,"Basis Data Ii",4
891,"Basis Data I",4
892,"Sistem Komunikasi Optik",3
893,"Mpk Olahraga / Seni",NULL
894,"Psikologi Belajar",NULL
895,"Material Humat (Kapita Selekta)",NULL
896,"Psikologi Forensik (P)",NULL
897,"Kesehatan Mental",NULL
898,"Seminar Tesis",NULL
899,"Statistik I",NULL
900,"Metodologi Penelitian Kuantitatif",5
901,"Penelitian Kualitatif",NULL
902,"Met Penelitian & Penulisan Prposal Tesis",NULL
903,"Prinsip-Prinsip Sistem Informasi",4
904,"Metode Penelitian Psikologi Lanjut",NULL
905,"Psikologi Umum Ii",NULL
906,"Manajemen Teknologi Informasi",4
907,"Bimbingan Pendidikan",NULL
908,"Metodologi Penelitian Dan Statistik I",5
909,"Matematika Statistika",2
910,"Rancang Bangun Perangkat Lunak",5
911,"Pengolahan Multimedia",NULL
912,"Fisika Dasar I",NULL
913,"Topik Dalam Pemrosesan Teks Lanjut",NULL
914,"Basisdata Ii",NULL
915,"Analisis Dan Perancangan Sistem",2
916,"Perancangan Sistem Informasi",4
917,"Prinsip-Prinsip Manajemen",4
918,"Probabilitas Terapan",2
919,"Lingkungan Daur Hidup",NULL
920,"Konfigurasi Erp",NULL
921,"Perancangan Sistem Informasi Strategis",4
922,"Metodologi Penelitian Dan Penulisan Ilmiah",5
923,"Kecerdasan Bisnis",NULL
924,"Perencanaan Sumberdaya Perusahaan",9
925,"Penjaminan Kualitas Perangkat Lunak",5
926,"Sistem-Sistem Perusahaan",9
927,"Manajemen Investasi Teknologi Informasi",4
928,"Advanced Programming",NULL
929,"Multisource Data And Inform.Fusion",4
930,"Mekanisme Keamanan U/ Information Resour",4
931,"Pengantar Sistem Digital",3
932,"Tk: Logika Komputasional",2
933,"Dasardasar Pemrograman",1
934,"Spesifikasi Dan Prasyarat Perangkat Luna",NULL
935,"Topik Lanjut Algoritma Kompresi",1
936,"Kriptografi Dan Keamanan Informasi",4
937,"Studi Mandiri Grafika Komputer",6
938,"Studi Mandiri Sistem Informasi",4
939,"Seminar Hasil Penelitian",NULL
940,"Topik Dlm Sistem Informasi Geografis",4
941,"Topik Dalam Grafika Komputer",6
942,"Topik Dalam Sistem Temu Kembali",3
943,"Studi Mandiri Bidang 1",NULL
944,"Studi Mandiri Teknik Perangkat Lunak",5
945,"Ujian Promosi",NULL
946,"Kriptografi & Keamanan Informasi",4
947,"Geometri Komputasional",2
948,"Programming Foundations",NULL
949,"Logika Komputasional",2
950,"Studi Mandiri Bidang 2",NULL
951,"Topik Dalam Robotika",7
952,"Studi Mandiri Pengolahan Citra",6
953,"Teori Komputasi Lanjut",NULL
954,"Dasar-Dasar Pemrograman 1",1
955,"Penambangan Data Kecerdasan Bisnis",4
956,"Penambangan Data",4
957,"Data Science & Analytics",4
958,"Penambangan Data & Inteligensia Bisnis",4
959,"Pemelajaran Mesin Lanjut",7
960,"Informatika Biomedis Lanjut",NULL
961,"Pemelajaran Mesin",7
962,"Desain Dan Analisisi Algoritma",5
963,"Pengantar Pengkajian Sinema",NULL
964,"Topik Dalam Kecerdasan Buatan (Soft Comp",7
965,"Topik Dalam Soft Computing",NULL
966,"Machine Learning (Syarat: Sistem Cerdas)",3
967,"Genetic Algorithm Untuk Image Retrieval",NULL
968,"Soft Computing (Syarat: Sistem Cerdas)",3
969,"Pencitraan Biomedis",NULL
970,"Studi Mandiri Soft Computing",NULL
971,"Mpk Bahasa Inggris",NULL
972,"Introduction To Digital System",NULL
973,"Topik Dlm Machine Learning",7
974,"Proyek Mahasiswa/Student Project",5
975,"Embedded Systems",NULL
976,"Manajemen Rekayasa Perangkat Lunak",5
977,"Standar Dan Regulasi Alat Medis",NULL
978,"Topik Dalam Sistem Basis Data",4
979,"Topik Dalam Jaringan Syaraf Tiruan",3
980,"Matematika Terapan Dan Biostatistik",2
981,"Calculus",NULL
982,"Komputasi Lunak",NULL
983,"Psikologi Perempuan & Gender (P)",NULL
984,"Mpk Agama Kristen Protestan",NULL
985,"Statistika Probabilitas",2
986,"Matematika Dasar 2",2
987,"Mpk Seniolahraga",NULL
988,"Pengetahuan Peralatan  (T)",7
989,"Pengetahuan Peralatan  (P)",7
990,"Kewirausahaan  (T)",NULL
991,"Kewirausahaan  (P)",NULL
992,"Komunikasi Bisnis Dan Teknis",NULL
993,"Ebusiness",NULL
994,"Dasar-Dasar Audit Si",NULL
995,"Bisnis Elektronis",NULL
996,"Topik Khusus - Solusi Perusahaan",9
997,"Bioorganik",NULL
998,"Biokimia & Biologi Molekuler",NULL
999,"Rekayasa Genetika",NULL
1000,"Stereokimia",NULL
1001,"Topik Dalam Keamanan Informasi",4
1002,"Rancangan Sistem Digital",3
1003,"Studi Mandiri Arsitektur Komputer",3
1004,"Intelligent System",7
1005,"Desain Dan Analisis Algoritma",1
1006,"Penulisan Ilmiah",NULL
1007,"Psikologi & Media (P)",NULL
1008,"Topik Dalam Teknik Perangkat Lunak",5
1009,"Rancangan Sistem Dijital",3
1010,"Mpk Agama Islam",NULL
1011,"Pengantar Sistem Dijital",3
1012,"Supply Chain Management",5
1013,"Sistem Interaksi",3
1014,"Perdagangan Elektronis",NULL
1015,"E-Dagang",NULL
1016,"Integrasi Aplikasi Perusahaan",9
1017,"Mitologi Junani Dan Romawi",NULL
1018,"Bahasa Jepang Sumber",NULL
1019,"Automata And Language Theory",2
1020,"Fotografi",NULL
1021,"Web Design And Programming",1
1022,"Genetika Terapan",NULL
1023,"Komputer Masyarakat",NULL
1024,"Teori Bahasa Automata",2
1025,"Metodologi Penelitian Penulisan Ilmiah",5
1026,"Metodologi Penelitian & Penulisan Ilmiah",5
1027,"Protein Engineering",NULL
1028,"Operating Systems (Windows, Linux)",NULL
1029,"Sistesis Kimia Organik",NULL
1030,"Operating System (Windows, Linux)",NULL
1031,"Platform Technologies (Os)",1
1032,"Operating Systems",NULL
1033,"Operating System",NULL
1034,"Tesis Magister",NULL
1035,"Infrastruktur Ti Modern",NULL
1036,"Seni/Olahraga",NULL
1037,"Introduction To Information System",NULL
1038,"Interfacing System Iv",NULL
1039,"Interfacing System Iii",NULL
1040,"Seminar Usulan Penelitian",NULL
1041,"Mobile Computing Ii",NULL
1042,"Mobile Computing I",NULL
1043,"E-Government In Action",NULL
1044,"Infrastruktur Ti",NULL
1045,"Peng. Konsep Pemrog. & Struk. Data",4
1046,"Perencanaan Infrastruktur Tek. Informasi",4
1047,"Matematika Diskret I",2
1048,"Teori Coding & Aplikasi",NULL
1049,"Koperasi",NULL
1050,"Game Development",6
1051,"Pengantar Arkeologi",NULL
1052,"Aproksimasi & Sistem Nonlinier",3
1053,"Topik Dalam Komputasi Numerik",NULL
1054,"Analisis Numerik",2
1055,"Optimisasi Algoritma",1
1056,"Mekanika Kuantum",NULL
1057,"Sejarah Uni Eropa",NULL
1058,"Topik Dlm Komputasi Matrik",NULL
1059,"Statistics",NULL
1060,"Antropologi Budaya",NULL
1061,"Penulisan Disertasi & Ujian Promosi",NULL
1062,"Scientific Computing",NULL
1063,"Proyek Akhir",5
1064,"Komputasi Ilmiah",NULL
1065,"Statistika Terapan",2
1066,"Makro Ekonomi I",NULL
1067,"Persamaan Differential",NULL
1068,"Komputer Dan Masyarakat",NULL
1069,"Topik Dlm Pengolahan Citra",6
1070,"Manajemen Sistem Informasi Korporat",4
1071,"Persamaan Diferensial",NULL
1072,"Studi Mandiri Information Retrieval",NULL
1073,"Simulasi & Pemodelan",2
1074,"Manajemen Rantai Suplai",4
1075,"Metodologi Formal Pemograman",5
1076,"Bahasa Korea Dasar A",NULL
1077,"Topik Khusus Robotika",7
1078,"Rekayasa Klinik",NULL
1079,"Sensor Biomedis",NULL
1080,"Teknologi Klinis",NULL
1081,"Penapisan Teknologi Klinis",NULL
1082,"Sist Manaj Basis Data",4
1083,"Kerja Praktik & Seminar",NULL
1084,"Keselamatan Teknologi Klinis",NULL
1085,"Robotika",7
1086,"Business Communication",NULL
1087,"Sistem Tertanam",3
1088,"Teknik Pulsa",NULL
1089,"Rancangan Sistem Dijital Lanjut",3
1090,"Publikasi Ilmiah",NULL
1091,"Robot Medis",NULL
1092,"Pengolahan Sinyal Dijital",NULL
1093,"Tk: Basis Data",4
1094,"Database Ii",NULL
1095,"Manajemen Risiko",4
1096,"E-Business & Erp",NULL
1097,"Penambangan Data & Kecerdasan Bisnis",4
1098,"Topik Dalam Basis Data",4
1099,"Egovernment",NULL
1100,"Perancangan & Analisis Sistem Informasi",4
1101,"Pemerintahan Elektronis",NULL
1102,"Tata Kelola Ti Lanjut",NULL
1103,"Perdagangan Elektronik",NULL
1104,"Lab Akuntasi Keuangan Lanjutan",NULL
1105,"Mpk Agama Hindu",NULL
1106,"Mitologi Yunani",NULL
1107,"Database 1",NULL
1108,"Logic Programming",NULL
1109,"Basis Data Lanjut",4
1110,"Pengantar Ekonomi 1",NULL
1111,"Manajemen Perubahan Proyek Ti",4
1112,"Parallel Numerical Algo & Application",NULL
1113,"Proyek Pengembangan E-Commerce",5
1114,"Metode Ekstraksi Informasi U/ Bhs Ind",4
1115,"Riset Metodologi Dlm E-Learning",5
1116,"Topik Khusus Implementasi Jaringan Komp.",3
1117,"Proyek Pengembangan Rekayasa Perangkat L",5
1118,"Topik Dalam E-Learning",NULL
1119,"Text Processing",NULL
1120,"Topik Dalam Pemrosesan Teks",NULL
1121,"Grid Untuk Digital Library",NULL
1122,"Studi Mandiri E-Learning",NULL
1123,"Manajemen Informasi Multimedia",4
1124,"Topik Dlm Jaringan Saraf Tiruan (Jst)",3
1125,"Integrasi, Strategi Dan Kebijakan Sistem",3
1126,"Topik Dalam Komputasi Paralel",3
1127,"Metodologi Penelitian Dan Statistik",5
1128,"Studi Mandiri Robotika",7
1129,"Sistem Informasi Lanjut",4
1130,"Karya Akhir",NULL
1131,"Business Data Engineering",4
1132,"Network Security And Technology",3
1133,"E-Business Project",5
1134,"Analisis Kebutuhan & Perancangan Si",2
1135,"Analisis Dan Perancangan Sistem Informasi",4
1136,"Pengantar Basis Data",4
1137,"Intro To Digital System",NULL
1138,"Strategi Kebijakan Sistem Informasi",4
1139,"Perancangan Dan Pemr",NULL
1140,"Pengembangan & Pemasaran Produk",NULL
1141,"Bisnis Intelejen",NULL
1142,"Dasar-Dasar Fermentasi",NULL
1143,"Jejaring Semantik",NULL
1144,"Perancangan Pemrograman Web",1
1145,"Jejaring Web",1
1146,"Teknologi Basis Data Lanjut",4
1147,"Sistem Info.Basisdata Berorientasi Objek",3
1148,"Metodologi Penelitian & Statistik",5
1149,"Adv. Numerical Method For Differential",NULL
1150,"Pengkajian Tematis Film",NULL
1151,"Perancangan Organisasi",NULL
1152,"Bioteknologi",NULL
1153,"Mpk Terintegrasi 2",NULL
1154,"Wicara Di Depan Umum",NULL
1155,"Koperasi & Keuangan Mikro",NULL
1156,"Mpk Terintegrasi B",NULL
1157,"Mpkt B",NULL
1158,"English",NULL
1159,"Psikologi Lingkungan (P)",NULL
1160,"Ekonomika Dan Pembangunan Sosial",8
1161,"Basis Data 1",4
1162,"Open Source Software",NULL
1163,"Jaringan Komunikasi Data",3
1164,"Pemrosesan Bahasa Alami Untuk Sistem Qa",7
1165,"Perolehan Informasi",4
1166,"Perolehan Informasi Lanjut",4
1167,"Cai Lanjut",NULL
1168,"Aljabar I",NULL
1169,"Aljabar Linier Ii",NULL
1170,"Teori Graph",NULL
1171,"Komputer",NULL
1172,"Kalkulus Ii",2
1173,"Aljabar Ii",NULL
1174,"Spektroskopi",NULL
1175,"Pengantar Matematika",2
1176,"Biomaterial",NULL
1177,"Topik Khusus: Jaringan Saraf Tiruan (Jst",3
1178,"Biomedical Informatics Lanjut",NULL
1179,"Studi Mandiri Pengembangan Data",4
1180,"Aplikasi Pulse Coupled Nn Pada Peng. Cit",NULL
1181,"Sist Infor Kes",NULL
1182,"Proses & Manaj.Rekayasa P. Lunak",NULL
1183,"Pengolahan Bahasa Manusia",NULL
1184,"Proposal Tesis",NULL
1185,"Komputasi Tersebar",NULL
1186,"Topik Dlm Komp.Num.Pers.Diff.Ordiner",NULL
1187,"Teknik Kompilator",NULL
1188,"Topik Dlm Komputasi Grid&Kinerja Tinggi",NULL
1189,"Pemrograman Konkuren & Paralel",1
1190,"Pemrograman Parallel",1
1191,"Komputasi Paralel Lanjut",3
1192,"Administrasi Sistem",3
1193,"Dasar-Dasar Arsitektur Komputer",3
1194,"Sistem Informasi Akuntansi Dan Keuangan",4
1195,"Integrasi Enterprise, Fungsi Dan Teknolo",NULL
1196,"Pengelolaan Informasi Strategis",4
1197,"Pengelolaan E-Commerce",NULL
1198,"Pengelolaan Pengembangan Sis Informasi",4
1199,"Proyek Ti Dan Manajemen Perubahan",5
1200,"Soft Comp",NULL
1201,"Integrasi Teknologi Informasi Perusahaan",4
1202,"Analisis Dan Perancangan Sistem Berorien",2
1203,"Studi Mandiri Komputasi Lunak",NULL
1204,"E-Government",NULL
1205,"Topik Dalam Verifikasi Perangkat Lunak",5
1206,"Studi Mandiri Parallel Komputing",NULL
1207,"Manajemen Pengetahuan Lanjut",4
1208,"Penulisan Disert Ujian Pra Promosi",NULL
1209,"Pemerintahan Cerdas",NULL
1210,"Kimia Inti Radiasi",NULL
1211,"Steroid",NULL
1212,"Kromatografi",NULL
1213,"Instumentasi Biomedis",NULL
1214,"Jar Syaraf Tiruan & Alg Genetik",NULL
1215,"Interaksi Komputer Dan Manusia",5
1216,"Bahasa Inggris Hukum",NULL
1217,"Hukum Kewarisan Islam",NULL
1218,"Ilmu Budaya Dasar",NULL
1219,"Topik Dlm Verifinasi Per. Lunak",NULL
1220,"Manajemen Sistem Informasi Perusahaan",4
1221,"E-Commerce Lanjut",NULL
1222,"It Dalam Pemilu",NULL
1223,"Pemrog.Lanjut Berorientasi Objek",NULL
1224,"Pemrograman Aplikasi Basis Data",4
1225,"Logika Dan Algoritma + Lab.",2
1226,"Studi Kelayakan Bisnis",NULL
1227,"Lab. Pemrograman Aplikasi",1
1228,"Pemrograman Cobol",1
1229,"Pendidikan Agama",NULL
1230,"Tk: Knowledge Management",5
1231,"Academic English",NULL
1232,"Knowledge Management",5
1233,"Bahasa Cina Dasar A",NULL
1234,"Antropobiologi",NULL
1235,"Topics On Neural Network",3
1236,"Penelitian/Tesis Ii",NULL
1237,"Kimia Analisa Lanjut",NULL
1238,"Penelitiantesis Ii",NULL
1239,"Semantic Web",1
1240,"Filsafat Ilmu, Metodologi & Etika",5
1241,"Pemrosesan Dan Analisis Sinyal Biomedis",2
1242,"Pengolahan Citra Lanjut",6
1243,"Analisis Data Spasial Lanjut",2
1244,"Analitika Media Sosial & Digital",8
1245,"Analitika Media Sosial",8
1246,"Akuakultura",NULL
1247,"Pengantar Ilmu Hukum",NULL
1248,"Analisis Termal",2
1249,"Interaksi Peer To Peer",5
1250,"Mpk Agama Budha",NULL
1251,"Psikologi Sosial",8
1252,"Sistem & Arsitektur Enterprise Lanjut",3
1253,"Desain & Analisa Algoritma",5
1254,"Topik Dlm Anal.Citra & Visi Komputer",NULL
1255,"Manajemen Investasi Dan Portofolio",4
1256,"Inst Depositori Dan Pasar Modal",NULL
1257,"Keuangan Internasional",NULL
1258,"Topik Dalam Sistem Temu Kembali Informasi",4
1259,"Topik Dalam Pemrosesan Citra Dan Visi Komputer",6
1260,"Topik Dalam Kecerdasan Komputasional",NULL
1261,"Visi Komputer",NULL
1262,"Topik Dalam Sistem Temu Kembali Informas",3
1263,"Perancangan Dan Analisis Algoritma Lanju",1
1264,"Topik Khusus Komputasi Cerdas Dan Visualisasi",6
1265,"Topik Khusus Komputasi Cerdas Dan Visual",NULL
1266,"Sistem Temu Kembali Informasi",4
1267,"Seminar 3 (Kcv,Ncc,Rpl)",NULL
1268,"Topik Dalam Visi Komputer",NULL
1269,"Seminar 2",NULL
1270,"Disertasi - Riset 1",NULL
1271,"Seminar 1",NULL
1272,"Topik Dalam Data Mining",4
1273,"Sistem Mikroprosesor",3
1274,"Teknik Digital",NULL
1275,"Instrumentasi Elektronis",NULL
1276,"Sistem Berbasis Mikroprosesor",3
1277,"Praktmikroprosesor",NULL
1278,"Prakt. Mikroprosesor",NULL
1279,"Praktteknik Digital",NULL
1280,"Perancangan Sistem Digital",3
1281,"Praktperancangan Sistem Digital",3
1282,"Pengukuran Dan Instrumentasi",NULL
1283,"Sistem Berdasar Mikroprosesor",3
1284,"Praktmikroprosesor Dan Komputer",NULL
1285,"Embedded System",NULL
1286,"Sistem Berbasis Microcontroler",3
1287,"Mikroprosesor Dan Mikrokontroler",NULL
1288,"Mikro Elektronika Rf",NULL
1289,"Prakt. Mikroprosesor Dan Komputer",NULL
1290,"Prakt. Teknik Digital",NULL
1291,"Komunikasi Digital",NULL
1292,"Sistem Berbasis Mikrokontroler",3
1293,"Teknik Antarmuka",NULL
1294,"Tapis Elektronik",NULL
1295,"Praktikum Mikrokomputer I",NULL
1296,"Praktikum Elektronika Iv",NULL
1297,"Praktikum Plc",NULL
1298,"Plc",NULL
1299,"Mikrokomputer I",NULL
1300,"Praktikum Mikrokontroler",NULL
1301,"Mikrokontroler",NULL
1302,"Sistem Kontrol Digital",3
1303,"Mekanika B",NULL
1304,"Elektronika Lanjut I",NULL
1305,"Assembler",NULL
1306,"Sistem Digital I",3
1307,"Metodekomputasi",NULL
1308,"Praktikum Assembler",NULL
1309,"Praktikum Antarmuka",NULL
1310,"Sistem Operasi Unix Windows",3
1311,"Praktikum Motor-Motor Listrik",NULL
1312,"Multimedia",NULL
1313,"Praktikum Elektronika I",NULL
1314,"Antarmuka",NULL
1315,"Sensor Transduser",NULL
1316,"Elektronika Iv",NULL
1317,"Mikrokomputer",NULL
1318,"Praktikum Tapis Elektronik",NULL
1319,"Bengkel Elins",NULL
1320,"Kl Sistem Utilitas",3
1321,"Ekspmikrokomputer I",NULL
1322,"Matematika Elektronika Ii",2
1323,"Ekspembeded System I",NULL
1324,"Eksp. Sistem Digital I",3
1325,"Praktikum Instrumentasi Industri",NULL
1326,"Prakpemrograman Sistem",3
1327,"Matematika Elektronika I",2
1328,"Kontrol Digital",NULL
1329,"Sistem Samar/Fuzzy",3
1330,"Fismat Ii",NULL
1331,"Pemrosesan Sinyal Digital Ii",NULL
1332,"Pengantar Multimedia",NULL
1333,"Pemrossinydigi",NULL
1334,"Pemrosesan Sinyal Digital",NULL
1335,"Prakt.Paleomagnetisme",NULL
1336,"Prakantar Muka",NULL
1337,"Eksppsd I",NULL
1338,"Praktikum Sinyal Digital",NULL
1339,"Eksppsd Ii",NULL
1340,"Eksp.Prgjaringan Priranti Bergerak",NULL
1341,"Eksp. Psd Ii",NULL
1342,"Kewirausahaan Manajemen",4
1343,"Eksprobotika",NULL
1344,"Mikrokontroller",NULL
1345,"Ekspkontrol Digital",NULL
1346,"Real Time Systems",NULL
1347,"Mikrokomputer Antar Muka",NULL
1348,"Interoperabilitas",NULL
1349,"Wavelet Terapan",NULL
1350,"Kuliah Kerja Nyata",NULL
1351,"Sains Manajemen",4
1352,"Praktikum Untai Listrik",NULL
1353,"Praktpengenalan Komputer",NULL
1354,"Tugas Kekaryaan",NULL
1355,"Untai Listrik",NULL
1356,"Ekspembedded System",NULL
1357,"Hmi Scada Dan Dcs",NULL
1358,"Praktikum Instrumentasi",NULL
1359,"Teknologi Web Lanjut",1
1360,"Arsitektur Dan Organisasi Komputer",3
1361,"Augmented Reality",NULL
1362,"Signal Processing",NULL
1363,"Analisis Data",2
1364,"Matematika Dasar Ii",2
1365,"Tugas Akhir Elektronika",NULL
1366,"Sistem Op.Unix Win",3
1367,"Kerja Praktek Industri",NULL
1368,"Eksp.Mikrokontroler",NULL
1369,"Pemrossinyal Digital 1",NULL
1370,"Elektronika Digital",NULL
1371,"Prakelektronika Digital",NULL
1372,"Manajemen Proyek Tek.Inf",5
1373,"Simulasi Elektronik",2
1374,"Jaringan Tcp/Ip",3
1375,"Fisika Dasar Ii",NULL
1376,"Prak.Prog Terstruktur",NULL
1377,"Praktikum Komputasi Fisika",NULL
1378,"Telematika",NULL
