id,"nama_dosen",jabatanfungsional_id,"url",programstudi_id,perguruantinggi_id
34,"Nur Ulfa Maulidevi",2,"https://forlap.ristekdikti.go.id/dosen/detail/MTA5RkYwMTgtNEQ1MC00QzdCLTlFQTktRTdGN0VDOTAwOTA0",4,1
35,"Masayu Leylia Khodra",1,"https://forlap.ristekdikti.go.id/dosen/detail/QjFENTA3RkMtNjNFMC00OTEzLUEwMDItNDEwNjE4QkQyRTEw",4,1
36,"Kuspriyanto",3,"https://forlap.ristekdikti.go.id/dosen/detail/ODE3MEVBRjMtQzY3NS00RDgzLUFBMTMtODFBQkE4OERDMTk2",6,1
37,"Kridanto Surendro",1,"https://forlap.ristekdikti.go.id/dosen/detail/MTg2RUQ3NTYtRjNDRC00RTBELUJBQzQtNjQ3Qzc2MDZBRjMy",3,1
38,"Henny Yusnita Zubir",4,"https://forlap.ristekdikti.go.id/dosen/detail/NDdDOTRCQjQtNTg1Qy00Njk4LTkyM0ItQUFERTlDRTVDQ0M5",2,1
39,"Fadhil Hidayat",5,"https://forlap.ristekdikti.go.id/dosen/detail/MDM1N0YxRTItN0YwMS00MTczLUI0MzctMEQ2QjI1NDM1RTQ5",3,1
40,"Dwi Hendratmo Widyantoro",3,"https://forlap.ristekdikti.go.id/dosen/detail/MUU0NzE0OEItRDY1Ny00MEVBLThBRjQtQjNFMTUxMEY5MkM1",4,1
41,"Dessi Puji Lestari",2,"https://forlap.ristekdikti.go.id/dosen/detail/RjQzMUUzQjQtQUQ5QS00MzdBLThCREEtNUMyNzVFN0QwQjEx",2,1
42,"Christine Suryadi",2,"https://forlap.ristekdikti.go.id/dosen/detail/Qjg1OTNDMUYtQ0FBNS00NzFBLUFCNEItNTNBOUNDMUI1NjI3",4,1
43,"Bambang Riyanto Trilaksono",3,"https://forlap.ristekdikti.go.id/dosen/detail/NDRGREU0NkEtQUI5OC00OTQ0LUFEMTUtQjA2RTc5NUQzNTZD",6,1
44,"Ayu Purwarianti",1,"https://forlap.ristekdikti.go.id/dosen/detail/ODg0MEM2RjItMDAwRC00MTU0LTk3Q0YtOTY1MzMzM0EwMkE1",6,1
45,"Armein Z R Langi",3,"https://forlap.ristekdikti.go.id/dosen/detail/Q0Q4MjQ5QjUtMjdDNi00ODZCLUE3RDMtNjVGMTk4N0E3OTEx",6,1
46,"Andriyan Bayu Suksmono",3,"https://forlap.ristekdikti.go.id/dosen/detail/MjUzMzdEODEtQzA3NC00RDZGLUJBMTYtODQ2QkIwNjUwNkI5",6,1
47,"Albarda",1,"https://forlap.ristekdikti.go.id/dosen/detail/RjY5QjBGMkEtNjRGQi00RkE5LTlDNTItQzlCM0EwMUE4QjI1",3,1
48,"Adi Mulyanto",4,"https://forlap.ristekdikti.go.id/dosen/detail/QzRERkFGQTYtMjA2QS00NzRBLThDMzMtNkRCNzVBQjEzNkMy",4,1
49,"Achmad Imam Kistijantoro",2,"https://forlap.ristekdikti.go.id/dosen/detail/NEE4MjIzODgtODc4OC00QkI5LUEyNTItNzJCREQ5NzdDMDYy",3,1
50,"Agus Buono",3,"https://forlap.ristekdikti.go.id/dosen/detail/OUJERTMxRjEtNzgxMy00RjE4LTgwN0UtQ0M1ODQzRDQ3NTdG",7,68
51,"Aziz Kustiyo",2,"https://forlap.ristekdikti.go.id/dosen/detail/RjJGRDU4NkItRkVFMS00RUVDLThEQkEtOTY5NTFCMzkyMkRD",7,68
52,"Auzi Asfarian",NULL,"https://forlap.ristekdikti.go.id/dosen/detail/NTYxQzIxNjMtNTdFNy00QzYyLUI0MzMtQUNDMEMyOTEwQTUz",7,68
53,"Mushthofa",4,"https://forlap.ristekdikti.go.id/dosen/detail/Q0Y2RUIyOTUtMkJDQS00Qjc2LTgyQkMtMEI1OUM4QzZCMTYy",7,68
54,"Yeni Herdiyeni",1,"https://forlap.ristekdikti.go.id/dosen/detail/RTM1RkIwMEQtNzM5Qi00QUFCLTkwRDAtNUM1NjZBM0IzNDhB",7,68
55,"Wisnu Ananta Kusuma",2,"https://forlap.ristekdikti.go.id/dosen/detail/RENERTE1QTAtMEI4Qy00MUFFLTlCMDQtM0JDQkU5NUYxNzMy",7,68
56,"Toto Haryanto",NULL,"https://forlap.ristekdikti.go.id/dosen/detail/NTczQ0YzMUUtQzI1NC00MUUwLTkzRDItRTMxQkRDRUMzNDAy",7,68
57,"Rina Trisminingsih",NULL,"https://forlap.ristekdikti.go.id/dosen/detail/NjJBMDgwRUQtMzhBMS00N0EyLTk0MTgtNDdFMjAzMjIxRTE1",7,68
58,"Muhammad Asyhar Agmalaro",5,"https://forlap.ristekdikti.go.id/dosen/detail/RDU4MTY2MEYtQzUwOS00MDBBLUI5RUEtNUJBODNGNDdENkNE",7,68
59,"Meuthia Rachmaniah",1,"https://forlap.ristekdikti.go.id/dosen/detail/NTg3MDM5OTYtMjcwMy00MzczLTkyOTktQ0I0MUFFQzBBNTlC",7,68
60,"Karlisa Priandana",4,"https://forlap.ristekdikti.go.id/dosen/detail/NzczMTkyOEMtNDI5Ni00RUJDLTk2N0YtODg1MzJBQzMyNDhD",7,68
61,"Julio Adisantoso",2,"https://forlap.ristekdikti.go.id/dosen/detail/MzczNkVGNTAtQkVBOC00ODJCLThEOEMtNzM2MzI0NzdDNzUw",7,68
62,"Imas Sukaesih Sitanggang",2,"https://forlap.ristekdikti.go.id/dosen/detail/RDIwOENFMjMtNEUxNi00RDU2LUIyNjUtREIyNTA2RjVGM0VE",7,68
63,"Hendra Rahmawan",5,"https://forlap.ristekdikti.go.id/dosen/detail/QjlGMEIxNDEtMzhGOC00NTY1LTk0QTEtQ0NGMjEyMzQwOEY4",7,68
64,"Hari Agung Adrianto",4,"https://forlap.ristekdikti.go.id/dosen/detail/N0Y3MjFCQjctQ0QwQS00MzlFLTg3ODEtMTg3RjI2MzYxOEQw",7,68
65,"Firman Ardiansyah",4,"https://forlap.ristekdikti.go.id/dosen/detail/OTEzQkNCQTUtNkJBNS00OEMwLThCMjgtQzI1OTY1NDAxNzMx",7,68
66,"Endang Purnama Giri",4,"https://forlap.ristekdikti.go.id/dosen/detail/NDdBQTdDOUEtQzNGNS00Nzg1LTk5MzYtRDk2RjlDNkZFRTk3",7,68
67,"Ahmad Ridha",2,"https://forlap.ristekdikti.go.id/dosen/detail/MEQyQUUyRTEtMkM5OC00RTVCLUI4RUMtMjE3QUE1NjMxQjY4",7,68
68,"Annisa",4,"https://forlap.ristekdikti.go.id/dosen/detail/NzkyMEU3RTgtNjEyOS00QUVFLUFDM0ItRTQ0RDkxMEYwOTQ5",7,68
69,"Achmad Holil Noor Ali",2,"https://forlap.ristekdikti.go.id/dosen/detail/MzIzMUJEOUEtMEI2NC00OThFLTg5QkQtQUZEQzBEQkFGOTNG",8,10
70,"Abdul Munif",4,"https://forlap.ristekdikti.go.id/dosen/detail/NjQ3OEVGQ0UtQjgyRi00OUY1LTgwNEMtRUNDMjQ0MzQwNzM0",4,10
71,"Ade Azurat",5,"https://forlap.ristekdikti.go.id/dosen/detail/QjI4NTg2QkQtNUZDNi00QTQyLTk2NzctNUJERDIzRTkxODk2",7,19
72,"Amril Syalim",4,"https://forlap.ristekdikti.go.id/dosen/detail/NTY2Q0Q3NUMtRDZBMC00NDhDLUJDMjYtNUMzMkEwNThFMzBC",7,19
73,"Ari Saptawijaya",5,"https://forlap.ristekdikti.go.id/dosen/detail/OUI3QjM1QjQtQkNGRS00RjY0LUJBODktMEVCQTEyNjAzNEQy",7,19
