id,tahun_ijazah,dosen_id,gelar_id,perguruantinggi_id
344,2008,139,8,68
345,2011,139,28,73
346,1987,140,12,73
347,1999,140,4,1
348,2010,140,5,73
349,2000,141,7,73
350,2006,141,11,139
351,1995,142,20,73
352,2003,142,4,73
353,2017,142,5,73
354,1994,143,7,73
355,1998,143,4,73
356,2014,144,8,10
357,2016,144,19,10
358,1986,145,12,73
359,NULL,145,15,37
360,2005,146,7,73
361,2010,146,17,73
362,2007,147,8,73
363,2007,147,8,73
364,2014,147,28,73
365,2014,147,17,73
366,2006,148,8,73
367,2011,148,19,19
368,2006,149,8,73
369,2011,149,2,142
370,2015,149,3,143
371,2012,150,8,73
372,2016,150,28,73
373,2003,151,8,73
374,2006,151,19,73
375,2010,152,7,144
376,2014,152,28,73
377,2001,153,7,73
378,2007,153,4,73
379,2012,154,8,73
380,2016,154,28,73
381,2014,155,7,73
382,2015,155,11,73
383,1992,156,1,73
384,1992,156,19,19
385,1984,157,29,73
386,1987,157,30,145
387,1986,157,20,73
388,1988,157,2,145
389,1995,157,3,145
390,2012,158,20,73
391,2016,158,28,73
392,2003,159,7,1
393,2009,159,4,1
394,1988,160,1,73
395,2002,160,4,73
396,2003,161,31,73
397,2007,161,4,73
398,2017,161,5,73
399,1999,162,20,73
400,2004,162,2,49
401,2009,162,5,146
402,1992,163,12,73
403,2002,163,19,73
404,2003,164,8,73
405,NULL,164,17,37
406,NULL,165,17,37
407,1999,166,7,73
408,2004,166,11,147
409,2014,166,3,3
410,1999,167,20,73
411,NULL,167,17,37
412,2006,168,8,10
413,2009,168,32,149
414,2017,168,33,150
415,2002,169,8,10
416,1994,170,20,10
417,2000,170,4,10
418,2009,171,8,10
419,2012,171,34,86
420,2009,172,8,10
421,2012,172,11,151
422,NULL,173,17,37
423,2008,174,8,10
424,2012,174,2,66
425,1995,175,7,10
426,2000,175,4,10
427,2013,175,5,153
428,2003,176,8,10
429,2008,176,28,154
430,2000,177,7,73
431,NULL,177,17,37
432,1982,178,1,10
433,1989,178,2,155
434,1992,178,3,155
435,2007,179,8,10
436,2011,179,2,151
437,1991,180,8,1
438,1995,180,19,19
439,2015,180,5,10
440,2004,181,8,10
441,2010,181,35,3
442,2008,182,8,10
443,2010,182,19,10
444,1994,183,8,10
445,1999,183,4,10
446,2008,184,8,10
447,2011,184,19,10
448,2001,185,20,10
449,2007,185,19,10
450,1999,186,8,10
451,1999,186,19,10
452,2000,187,8,10
453,2008,187,19,19
454,2012,187,5,32
455,2003,188,7,1
456,2007,188,2,126
457,2001,189,8,10
458,2010,189,19,10
459,2014,189,14,159
460,1999,190,8,10
461,2002,190,5,10
462,2001,191,8,10
463,2009,191,2,160
464,2008,192,8,10
465,2014,192,2,151
466,1995,193,8,10
467,2009,193,19,10
468,1994,194,8,10
469,2001,194,4,10
470,2008,195,8,153
471,2012,195,34,86
472,1994,196,7,10
473,2001,196,4,10
474,2010,196,3,86
475,1998,197,13,85
476,2001,198,8,10
477,2012,198,4,10
478,2008,199,8,10
479,2012,199,11,159
480,2015,199,3,159
481,1997,200,8,10
482,2003,200,4,1
483,1997,201,8,10
484,2001,201,19,19
485,2009,201,5,83
486,2006,202,8,10
487,2009,202,4,1
488,1982,203,36,10
489,1998,203,2,109
490,1975,204,37,10
491,1978,204,2,165
492,1984,204,3,165
493,2007,205,8,10
494,NULL,205,17,37
495,2007,206,8,73
496,2011,206,11,61
497,2006,207,8,10
498,2010,207,19,10
499,2009,208,8,10
500,2012,208,19,10
501,2001,209,8,10
502,2009,209,4,10
503,2007,210,8,10
504,2011,210,2,49
505,2003,211,8,10
506,2010,211,38,90
507,1991,212,1,10
508,1995,212,2,155
509,1998,212,3,155
510,1988,213,1,10
511,2010,213,39,10
512,1999,214,7,10
513,2000,214,2,150
514,2004,214,3,150
515,1999,215,8,10
516,2005,215,2,86
517,1984,216,1,10
518,1999,216,19,19
519,1994,217,7,10
520,2000,217,4,10
521,1994,218,8,10
522,1998,218,19,19
523,2010,218,5,83
524,2005,219,8,10
525,2010,219,2,170
526,2004,220,8,10
527,2008,220,40,86
528,2017,220,41,171
529,2008,221,8,10
530,2012,221,2,86
531,1991,222,1,10
532,2000,222,2,68
533,2010,222,5,20
534,2008,223,8,10
535,2012,223,34,86
536,2008,224,8,10
537,2012,224,2,173
538,2006,225,8,10
539,2008,225,2,86
540,2014,225,14,159
541,2007,226,8,10
542,2010,226,19,10
543,2004,227,7,1
544,2010,227,4,1
545,NULL,228,17,37
546,2008,229,8,10
547,2012,229,2,86
548,2008,230,8,10
549,2012,230,11,174
550,1985,231,31,175
551,1987,231,1,10
552,1990,231,2,1
553,1992,231,3,71
554,1999,232,8,10
555,2005,232,19,10
556,2013,232,3,159
557,2001,233,8,10
558,2009,233,11,174
559,1994,234,8,10
560,2003,234,19,19
561,2000,235,8,10
562,2006,235,4,1
563,1995,236,7,10
564,2004,236,19,10
565,1992,237,1,1
566,1997,237,4,1
567,2011,237,3,136
568,1992,238,1,10
569,1974,239,37,10
570,1978,239,2,165
571,1984,239,3,165
572,2000,240,8,10
573,2007,240,24,3
574,2012,240,3,177
575,1998,241,7,73
576,2003,241,4,73
577,2012,241,3,178
578,2002,242,8,10
579,2008,242,2,179
580,1993,243,20,10
581,1993,243,19,10
582,1995,244,8,19
583,1998,244,19,19
584,1999,245,8,10
585,2005,245,17,174
586,2012,245,3,3
587,2008,246,8,10
588,2011,246,2,86
589,1997,247,20,10
590,2003,247,19,10
591,1995,248,8,10
592,2002,248,19,19
593,1982,249,12,73
594,1990,249,2,155
595,1996,249,3,155
596,2005,250,7,73
597,2006,250,4,73
598,2011,250,5,73
